Age,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,Oc,Total,Notes Month of Feb. 2020
0-5 years,4,2,6,2,6,6,1,2,6,4,5,4,1,3,3,6,4,3,6,5,7,6,4,9,5,5,10,8,15,8,3,9,11,14,13,10,13,15,14,9,8,8,5,16,14,7,15,9,5,14,17,6,19,14,15,21,15,11,19,9,22,16,10,13,14,8,13,12,14,11,9,13,13,22,14,14,12,10,15,19,10,2,,800,
6-10 years,4,5,8,2,5,3,2,5,9,5,4,8,7,8,13,7,2,9,8,2,14,11,9,6,14,17,15,15,7,15,5,11,18,21,26,27,26,18,24,23,17,19,13,19,15,23,9,16,20,27,20,18,22,18,22,21,23,16,26,15,14,18,18,22,20,20,21,12,21,10,14,10,20,23,18,15,17,8,22,16,17,7,,1180,
11-13 years,5,5,5,9,2,5,4,7,3,3,6,3,7,9,7,5,8,5,7,5,2,8,7,9,13,9,7,17,7,8,17,14,21,14,17,19,15,18,12,8,21,9,11,20,18,13,10,18,26,18,12,19,16,15,16,17,23,20,24,18,10,19,10,9,17,11,11,12,18,13,18,16,21,20,19,5,13,15,16,13,19,5,,1006,
14-17 years,5,4,7,4,8,3,6,0,4,9,7,8,5,7,4,4,9,15,9,9,14,12,4,9,8,19,16,20,23,13,21,27,14,19,25,23,17,30,15,22,21,15,15,22,28,18,14,16,22,20,22,24,36,25,22,27,12,16,26,16,19,23,27,22,17,20,23,26,22,22,19,21,30,20,18,25,21,25,30,25,21,3,,1374,
18-22 years,2,3,5,1,5,2,2,0,2,2,2,3,2,4,2,4,6,5,1,8,1,8,9,7,5,4,5,7,5,6,7,5,8,10,10,13,11,9,15,8,11,7,7,4,8,6,13,10,5,13,8,8,11,10,12,8,7,17,2,7,10,4,5,7,13,4,8,4,4,7,5,4,9,9,9,12,14,12,6,8,7,3,,552,
23-29 years,3,5,0,1,1,2,6,2,4,1,5,3,1,3,2,2,4,1,4,2,5,4,3,2,5,8,2,9,5,2,6,4,7,4,7,4,5,8,2,4,6,3,2,5,5,4,3,4,6,7,5,7,6,2,8,9,3,5,4,1,6,8,6,5,5,5,6,3,3,3,1,2,8,5,3,5,2,1,11,3,2,2,,338,
30-39 years,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,3,1,2,1,1,2,0,1,3,0,3,2,1,2,1,0,2,1,3,1,1,0,0,2,1,3,2,3,2,1,0,2,0,2,0,1,2,2,0,2,0,0,2,3,1,2,1,4,2,3,0,1,3,1,2,1,0,0,5,1,6,2,2,1,0,,107,
Over 40 years,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,1,2,0,1,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,,32,
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,
TOTAL:,23,25,32,19,28,23,22,17,29,24,29,30,24,36,31,28,34,42,37,33,44,50,38,42,52,65,55,79,65,54,63,71,80,86,99,100,89,99,82,75,87,63,56,91,91,73,65,75,86,99,86,82,111,86,97,103,85,86,101,69,84,89,79,79,90,70,87,69,84,69,68,68,102,100,81,82,80,77,104,86,77,22,,5393,